item_id,llm_tag,annotator_1_tag,annotator_2_tag
277,Backchannel,Backchannel,Backchannel
278,Paraphrase,Paraphrase,Paraphrase
279,OpenQuestion,OpenQuestion,OpenQuestion
280,Reflection,Reflection,Reflection
281,Reflection,Reflection,Reflection
282,OpenQuestion,ClosedQuestion,ClosedQuestion
283,ClosedQuestion,ClosedQuestion,OpenQuestion
284,ClosedQuestion,ClosedQuestion,ClosedQuestion
285,Reflection,Reflection,Reflection
286,ClosedQuestion,ClosedQuestion,ClosedQuestion
287,ClosedQuestion,ClosedQuestion,ClosedQuestion
288,ClosedQuestion,ClosedQuestion,ClosedQuestion
289,Other,Other,Other
290,Reflection,Reflection,Reflection
291,OpenQuestion,OpenQuestion,OpenQuestion
292,Reflection,Reflection,Reflection
293,Paraphrase,Paraphrase,Paraphrase
294,OpenQuestion,OpenQuestion,OpenQuestion
295,Paraphrase,Paraphrase,Paraphrase
296,Reflection,Reflection,Reflection
297,OpenQuestion,OpenQuestion,OpenQuestion
298,Reflection,Reflection,Reflection
299,ClosedQuestion,ClosedQuestion,ClosedQuestion
300,ClosedQuestion,ClosedQuestion,ClosedQuestion
301,Reflection,Reflection,Reflection
302,Paraphrase,Reflection,Paraphrase
303,Affirmation,Affirmation,Affirmation
304,Affirmation,Affirmation,Affirmation
305,Affirmation,Affirmation,Affirmation
306,Reflection,Inform,Reflection
307,Affirmation,Reflection,Affirmation
308,OpenQuestion,OpenQuestion,OpenQuestion
309,Reflection,Reflection,Reflection
310,Affirmation,Affirmation,Affirmation
311,Affirmation,Paraphrase,Affirmation
312,Affirmation,Affirmation,Affirmation
313,Affirmation,Affirmation,Affirmation
314,Other,Other,OpenQuestion
315,OpenQuestion,ClosedQuestion,ClosedQuestion
316,Thanking,Thanking,Thanking
317,Thanking,Thanking,Thanking
318,Other,Other,Other
